key,category,description,link,pdf
albano-dri-2024,Adaptation Planning,Guidance on how to incorporate the best available information on climate variability and change into emergency management planning.,,
bass-justification-memo-2024,Hydrology; Dataset/Methodology,"Methods, QA/QC, and guidance/caveats for the use of the hydrology projections.",,
bassAchieving2023a,Hydrology; Dataset/Methodology,"Calibration approach used for regionalization of hydrology parameters (study covers its application on the 9 km grid, but the same approach was used for the 3km grid for Noah-MP, VIC).",,
calvinIPCC2023,Adaptation Planning,Comprehensive report developed as part of the United Nations to assess the science related to climate change and provide the scientific basis for governments to develop climate related policies.,,
cayan-adoption-memo-2024,Sea Level; Dataset/Methodology,"Methods, QA/QC, and guidance/caveats for the development of the hourly sea level rise projections.",,
cayanClimate2008,Sea Level; Dataset/Methodology,Hourly sea level rise projections – modeling technique.,,
clim-resilience-toolkit-webpage,Adaptation Planning,A compilation of resources from the U.S. federal government for planning and deploying climate adaptation and resilience-building efforts at state and local levels.,https://toolkit.climate.gov/,
epri-clim-data-guide-2026,Adaptation Planning,"Guide to the selection of suitable climate data for physical climate risk assessment. Includes a brief review of the climate modeling science and statistics used in climate science, as well as specific descriptions of sources of past and future data.",,
fordPreparing2026,Cal-Adapt; Dataset/Methodology,"Motivation and methods behind Cal-Adapt's Extreme Meteorological Year (XMY) climate profiles, developed for a range of energy-sector applications, including use cases and limitations.",,../assets/pdfs/Cal-Adapt-XMY-Methods-White-Paper.pdf
gardinerImplementing2022,Adaptation Planning,"Guidance on how to consider different methods for vulnerability and risk assessment, decision making, measuring and evaluating project components, and reporting on adaptation planning and implementation.",,
kalansky-cdawg-ppx-2024,General Use Projections; Dataset/Methodology,"Overview of CMIP6 climate projections for California, including process and selection of models for general use projections.",,
kalansky-general-use-projections-2024,General Use Projections; Dataset/Methodology,"Description of criteria, process, selection, and limitations of models for general use projections.",,
kotamarthiDownscaling2021,Adaptation Planning,"Guidance on how to select, apply, and interpret downscaled climate information for use in planning.",,
kranz-memorandum-2021,GCM Selection; Dataset/Methodology,"Methods, QA/QC, and guidance/caveats regarding the approach to selection and evaluation of CMIP6 GCMs that best capture the characteristics of California's climate.",,
opr-resilient-ca-2018,Adaptation Planning,Guidance on climate risks and how to consider them in planning and investment.,,
ostp-guide-2023,Adaptation Planning,"A high-level, federal guide for selecting resources (data, tools, reports, case studies, etc.) for understanding climate vulnerabilities. Focuses on exposure to climate-related hazards and their potential impacts.",,
pierce-bias-correction-2023,Bias Correction; Dataset/Methodology,"Methods, QA/QC, and guidance/caveats for the bias correction approaches used for LOCA2-Hybrid and WRF downscaled projections.",,
pierce-locav2-2023,LOCA2-Hybrid; Dataset/Methodology,"Methods, QA/QC, and guidance/caveats for the use of the LOCA2-Hybrid downscaling products.",,
pierce-locav2-training-data-2023,LOCA2-Hybrid; Dataset/Methodology,"Methods, QA/QC, and guidance/caveats for the development of the LOCA2 training data.",,
pierceFuture2023,LOCA2-Hybrid; Dataset/Methodology,Development and availability of LOCA2 projections (with ensemble bias correction).,,
rahimi-data-justification-2024,WRF; Dataset/Methodology,"Methods, QA/QC, and guidance/caveats for the different bias correction approaches (no bias correction, and a-priori bias correction) used for WRF downscaled projections.",,
rahimi-memo-2022,WRF; Dataset/Methodology,Dynamical downscaling evaluation – evaluation of the performance of four dynamically downscaled projections using WRF (no bias correction).,,
rahimi-wrf-memo-2022,WRF; Dataset/Methodology,Dynamical downscaling technique – development and availability of four dynamically downscaled projections using WRF (no bias correction).,,
rahimiEvaluation2022,WRF; Dataset/Methodology,Dynamical downscaling evaluation – method and results from dynamical downscaling of the historical record across the Western United States using ERA5.,,
rahimiOverview2024,WRF; Dataset/Methodology,"Dynamical downscaling evaluation – results from 16 dynamically downscaled CMIP6 simulations over the Western United States (WUS-D3), including the whole of the Western Electricity Coordinating Council (WECC) region.",,
rahimiUnderstanding2024,Bias Correction; Dataset/Methodology,Comparative study on the impacts of applying a-priori bias correction vs no bias correction to GCMs. Bias correction improves dynamically downscaled climate projections across the western United States.,,
resilient-ca-dot-org,Adaptation Planning,"Guidance on local adaptation and resilience planning in California. Includes a summary of statewide guidance, resources and tools, as well as links to federal resources.",,
risserBias2024,Bias Correction; Dataset/Methodology,"Explanation of when, where, and for which variables a-priori bias correction introduces variance into downscaled projections across the western United States.",,
usgcrpFifth2023,Adaptation Planning,"The U.S. Government's report on climate change impacts, risks, and responses. Provides the scientific foundation to support informed decision-making across the U.S.",,
vanoDOs2018,Adaptation Planning,"Highlights better practices for incorporating climate change information within planning and management. Includes strategies, guidelines, and frequently asked questions.",,
agc-user-guide-portals-2025,Adaptation Planning,"Online guide collating various climate data portals and resources. Helps users effectively identify, acquire, and interpret climate change information appropriate for their specific context.",https://www.agci.org/projects/climate-portal-guide,
